Date,Open,High,Low,Close
04/03/2022,"3,471.20","3,523.00","3,413.52","3,495.00"
04/02/2022,"3,441.70","3,529.39","3,429.12","3,471.20"
04/01/2022,"3,300.05","3,480.00","3,215.01","3,443.19"
03/31/2022,"3,414.52","3,444.44","3,263.97","3,299.98"
03/30/2022,"3,397.58","3,445.00","3,339.00","3,413.71"
03/29/2022,"3,417.28","3,482.78","3,321.58","3,395.20"
03/28/2022,"3,238.39","3,430.72","3,225.00","3,417.28"
03/27/2022,"3,144.00","3,247.64","3,128.19","3,238.88"
03/26/2022,"3,128.32","3,152.36","3,087.58","3,144.00"
03/25/2022,"3,104.86","3,193.50","3,078.18","3,128.32"
03/24/2022,"2,982.22","3,129.41","2,974.21","3,104.85"
03/23/2022,"3,001.61","3,047.04","2,922.16","2,981.96"
03/22/2022,"2,910.70","3,052.57","2,885.59","3,001.61"
03/21/2022,"2,874.36","2,961.30","2,835.00","2,911.51"
03/20/2022,"2,952.38","2,964.01","2,820.00","2,877.47"
03/19/2022,"2,950.96","2,985.99","2,923.74","2,956.80"
03/18/2022,"2,808.00","2,985.26","2,770.40","2,952.01"
03/17/2022,"2,772.09","2,835.95","2,744.40","2,807.99"
03/16/2022,"2,617.14","2,789.16","2,606.74","2,774.50"
03/15/2022,"2,526.77","2,667.60","2,511.48","2,625.59"
03/14/2022,"2,547.00","2,608.52","2,494.42","2,524.55"
03/13/2022,"2,586.98","2,600.68","2,536.31","2,547.01"
03/12/2022,"2,573.60","2,614.26","2,554.59","2,586.98"
03/11/2022,"2,604.78","2,672.09","2,525.19","2,573.60"
03/10/2022,"2,708.44","2,735.08","2,557.37","2,604.00"
03/09/2022,"2,559.18","2,773.08","2,559.18","2,708.44"
03/08/2022,"2,484.17","2,624.88","2,481.21","2,560.80"
03/07/2022,"2,630.59","2,646.86","2,447.99","2,484.17"
03/06/2022,"2,655.00","2,674.99","2,592.80","2,627.79"
03/05/2022,"2,608.32","2,683.89","2,576.94","2,655.49"
03/04/2022,"2,804.66","2,848.52","2,600.50","2,608.32"
03/03/2022,"2,976.36","2,982.82","2,790.02","2,804.50"
03/02/2022,"2,954.09","3,036.89","2,917.49","2,963.89"
03/01/2022,"2,822.90","3,038.49","2,822.90","2,954.79"
02/28/2022,"2,600.92","2,836.94","2,575.73","2,821.51"
02/27/2022,"2,827.62","2,827.62","2,562.25","2,606.65"
02/26/2022,"2,709.11","2,854.23","2,694.63","2,827.20"
02/25/2022,"2,635.94","2,744.00","2,544.16","2,709.14"
02/24/2022,"2,618.26","2,705.18","2,302.00","2,633.01"
02/23/2022,"2,606.86","2,750.65","2,593.35","2,620.70"
02/22/2022,"2,571.99","2,661.85","2,503.08","2,604.01"
02/21/2022,"2,599.12","2,757.59","2,578.92","2,583.87"
02/20/2022,"2,742.00","2,767.84","2,576.48","2,599.40"
02/19/2022,"2,780.88","2,830.42","2,698.45","2,742.00"
02/18/2022,"2,895.51","2,944.00","2,754.90","2,783.64"
02/17/2022,"3,140.82","3,160.79","2,855.13","2,896.67"
02/16/2022,"3,098.89","3,195.98","3,047.60","3,136.48"
02/15/2022,"2,915.93","3,150.00","2,913.40","3,099.47"
02/14/2022,"2,875.44","2,964.44","2,832.98","2,915.92"
02/13/2022,"2,878.63","2,952.33","2,838.89","2,875.03"
02/12/2022,"2,928.12","2,984.99","2,861.00","2,880.00"
02/11/2022,"3,115.80","3,137.37","2,909.02","2,927.28"
02/10/2022,"3,238.98","3,281.60","3,089.00","3,114.29"
02/09/2022,"3,117.55","3,271.99","3,057.01","3,240.00"
02/08/2022,"3,153.50","3,232.52","3,028.84","3,118.37"
02/07/2022,"2,996.00","3,188.93","2,987.36","3,151.38"
02/06/2022,"3,024.20","3,042.96","2,957.98","2,996.00"
02/05/2022,"2,957.11","3,062.20","2,932.57","3,027.15"
02/04/2022,"2,658.66","2,977.85","2,646.62","2,957.62"
02/03/2022,"2,655.81","2,723.92","2,577.02","2,657.49"
02/02/2022,"2,799.30","2,815.66","2,615.15","2,647.75"
